,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-21 00:00:00,2020-10-23 00:00:00,2020-10-25 00:00:00,cqcode,group
c1ba9460c7bf03aa48206243533697a9,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
2c070f4880cc78c48ec292dd9c89b597,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.2,0.2,0.1,0.075,0.0,0.0,0.0,0.0,0.0,1.0,Alphaproteobacteria
71e79965c75da5beadef84bb90e85ac8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.125,0.35,0.05,0.075,0.0,0.0,0.0,0.0,0.0,0.0,Alphaproteobacteria
fd2899fba49792389b004ff5b4edc105,0.3,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
761ead633066299a844718a936a73d40,0.075,0.0,0.0,0.0,0.075,0.0,0.075,0.0,0.075,0.125,0.175,0.0,0.0,0.125,0.0,0.0,0.0,-1.0,Other
c1ffec3e68d94c905a648e7664c2d2b3,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.175,0.175,0.075,0.15,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
5d2e49450a273f6c0be13ac0df389082,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.125,0.05,0.1,0.0,0.2,0.025,0.075,0.0,0.0,0.05,0.0,Bacteroidota
29534172d78e3b38b46e63f13802cb38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
8df2b2e6c1cb64bd18b81d5bae7f0898,0.0,0.0,0.0,0.0,0.325,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
5327e163428262c6265b605f3fc3f617,0.275,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Other
f22dbe466ab7a6820a3fa8f0c23529d6,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.125,0.125,0.0,0.075,0.05,0.0,0.0,0.0,0.0,Gammaproteobacteria
f9e864a4b56320d9a9d165537511a13a,0.075,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
f946b50381ec921baf3aeb617487cae2,0.125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Other
49ef3ac1550d8b721b9cf05353db4266,0.05,0.025,0.075,0.125,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Other
3b6fd7be1d9b5827f77b4942a55be2e3,0.025,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.125,0.15,0.0,0.0,0.075,0.0,0.0,0.0,0.0,Alphaproteobacteria
1638aa56cb7da424b703873161ce93b5,0.125,0.175,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,,Bacteroidota
3f456a18968cea5c5e549e281f0f5808,0.05,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Actinobacteriota
9430299127d3ead3db04bc1987302d9c,0.05,0.125,0.1,0.1,0.0,0.025,0.0,0.0,0.05,0.0,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
159444bc0b813da46a659d21a4d714fe,0.05,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Verrucomicrobiota
faef71610aa24b3d201ee1da2cce1099,0.175,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
945184b6386c192c0066e0a98a154780,0.0,0.0,0.175,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
3481fa43fe5fba6aecdc7f9aae6ed9c0,0.05,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
b4289ab0a9a00034c1fbce477b2c4ded,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,Gammaproteobacteria
8f1f0c16b5ae8d0f4a9f295ceefeb311,0.1,0.0,0.0,0.0,0.075,0.0,0.05,0.0,0.15,0.075,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
d47d8079ce4160fc003bde985b2fba98,0.05,0.0,0.025,0.0,0.0,0.0,0.1,0.0,0.125,0.075,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
f37fc1dccfeba0004cbeb4f1ad6083c6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.125,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
01fab5128a356827231fbacc44b9981a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.125,0.15,0.0,Bacteroidota
d88ed905438959fd8ee98652a99e4ff3,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.025,0.125,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Bacteroidota
f0032821fb6aef3771afb4f5d698c64c,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.125,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
9434f7e486b0c09d19e3db2803d7c3fa,0.025,0.0,0.0,0.0,0.075,0.1,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
1de4896460562cae3be7c9d14bfe84cf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
a120ace2823a953a1a8cc10dd9d805e8,0.1,0.0,0.0,0.0,0.0,0.05,0.125,0.0,0.075,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
932bc44d957c32c1935fd542c664f02a,0.05,0.0,0.0,0.175,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Other
b36023fc56449cdd4e744a34b01598f8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.075,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alphaproteobacteria
e4909afbea1157e9a3facb213914e0d8,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.075,0.025,0.125,0.0,0.025,0.0,0.025,0.0,0.0,Bacteroidota
9233e5ddae8fe129db164d1590905605,0.075,0.0,0.075,0.075,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.075,0.0,0.0,0.0,0.025,0.0,0.0,Bacteroidota
af767841e471a66891128768eb008fdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.025,0.0,Bacteroidota
1bf28b748e78c1e80fc6df716c119bf6,0.1,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Other
113381e3893ed86fffe77e3fce5dd07f,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Alphaproteobacteria
a8f6760bd4378818c3baa8a9129cd930,0.025,0.0,0.0,0.225,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bacteroidota
40f03404f784dbfb7416525222e6ab20,0.1,0.025,0.0,0.0,0.075,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.0,1.0,Other
509eaeea5d891500059f3b856822c912,0.1,0.0,0.125,0.025,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Other
1b03c73f2f3a077f62d8bca857ea87b4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Other
26b6d555823c43ff253ff556cd2a30f1,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
ecf34002e3cda4cc1ac3054b88d02335,0.075,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,,Other
79446e81bd023ac5680a8bf364e0e92a,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.05,0.0,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Other
007978dab7aed7eb4d5ffff337638bd2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.1,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,Other
cae33a7d5f2c2e4efab7a096e71afddf,0.125,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Verrucomicrobiota
47f21000b88faf8a0d4a06f8961990b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.1,0.0,0.025,0.0,0.0,0.0,0.0,0.125,0.0,Other
a080a409c3444a2a2ebd1d7716b1b32f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Alphaproteobacteria
d118854b81e1eb3096a5f8f78036b3cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.05,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alphaproteobacteria
c9049202e37dc92d62a254da16a71985,0.05,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
28a343f8e68bb8e40238d3e9d03894bc,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
3bfe59464b0d58d1512685abdccb124d,0.025,0.0,0.1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,Bacteroidota
9c23c8201866799f614a01493a6c03ba,0.075,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Other
