"","GH2020.013.832","GH2020.014.832","GH2020.015.832","GH2020.016.832","GH2020.017.832","GH2020.018.832","GH2020.019.832","GH2020.020.832","GH2020.021.832","GH2020.022.832","GH2020.023.832","GH2020.024.832","GH2020.025.832","GH2020.026.832","GH2020.027.832","GH2020.028.832","GH2020.029.832"
"9060ce2effb26f9aa867f587d3fbb4f7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7e46c1376897b6ba3999764449ff4bd0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659b2a441b53f3d6b82e9624988f3b9c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279a9fbf032cf6bce9690a55b36b53a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acfc722f6897cf047b3253574c6e07ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214ddd3bef635fdfe593fead992e2711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3cb4095bf9fd4bfd0321e0bd049b2387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ae622c67c55fd4c1734b4c37f2810764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aecdf2c7b0c2b04c34ef25bd047e4526",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"b8b16a0220cb1d43324c7ed9037ac342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3f4e173d94a85dbda520198456b7dd76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2873c4449d42b618913e496bdefe2dff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f6138e96972d3ef727f18c92d1fd888c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313c3a08ba6900fc059e6770b8855fb0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61fb699884085899143e9cdf3922a81e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5044b88bc7e6f444dbb911640795aa6b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13437cc34d87c79a4e3764bf81594208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51ed269b8eab14ccb2bc431954b19bba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"363a5d4798fef2bef7b11326739fea10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a3a8cfd15c1804d3267f4d3c89ad8a6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e32a9c3502d462e8c37676787761a042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62b3bde9076be4c644811666adb7f593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b1fcf1c1bc14c166ee35e42642b8ec74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28b22162c8f68f956d10613a2c738283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
